Name,Price,Image URL
Glymax Cream 150gm,N/A,https://cdn01.pharmeasy.in/dam/products/O25066/glymax-cream-150gm-2-1641537911.jpg?dim=700x0&dpr=1&q=100
Nmf E Daily Moisturising Lotion 200ml,N/A,https://cdn01.pharmeasy.in/dam/products_otc/124636/nmf-e-daily-moisturising-lotion-bottle-200-ml-6.01-1726571110.jpg?dim=700x0&dpr=1&q=100
Actame F Foaming Face Wash 150ml,₹525,https://cdn01.pharmeasy.in/dam/products_otc/320900/actame-f-foaming-face-wash-150ml-1-1671740962.jpg?dim=700x0&dpr=1&q=100
Cerave Moisturizing Cream For Dry To Very Dry Skin - 340gm,₹1500,https://cdn01.pharmeasy.in/dam/products_otc/B59942/cerave-moisturizing-cream-for-dry-to-very-dry-skin-340gm-6.01-1701425576.jpg?dim=700x0&dpr=1&q=100
Newish Enrichingrose Aloevera Gel For Face&Skin | Natural Gel To Prevent Pimples&Acne200gm Packof2,₹518.7,https://cdn01.pharmeasy.in/dam/products_otc/U13819/newish-enrichingrose-aloevera-gel-for-faceskin-natural-gel-to-prevent-pimplesacne200gm-packof2-2-1671744479.jpg?dim=700x0&dpr=1&q=100
Venusia Derm Moisturizing Cream 75gm (Pack Of 2),₹664,https://cdn01.pharmeasy.in/dam/products_otc/N27577/venusia-derm-moisturizing-cream-75gm-pack-of-2-2-1722336560.jpg?dim=700x0&dpr=1&q=100
Acne Uv Spf 30 Tube Of 60gm Gel,₹837,https://cdn01.pharmeasy.in/dam/products_otc/X91913/acne-uv-spf-30-tube-of-60gm-gel-1-1688993328.jpg?dim=700x0&dpr=1&q=100
La Shield Fisico Matte Sunscreen Gel Spf 50+ Tube Of 50gm,₹750,https://cdn01.pharmeasy.in/dam/products_otc/O15703/la-shield-fisico-matte-sunscreen-gel-spf-50-tube-of-50gm-2-1702362564.jpg?dim=700x0&dpr=1&q=100
Cetaphil Moisturising Lotion (Sensitive And Dry Skin) - 250ml,N/A,https://cdn01.pharmeasy.in/dam/products_otc/269298/cetaphil-moisturising-lotion-sensitive-and-dry-skin-250ml-2-1671740893.jpg?dim=700x0&dpr=1&q=100
Acnestar Soap (Pack Of 3),₹315,https://cdn01.pharmeasy.in/dam/products_otc/Z08652/acnestar-soap-pack-of-3-2-1686547160.jpg?dim=700x0&dpr=1&q=100
Mankind Uvsmart Matt Sunscreen | Uva Uvb Protection |Water Resistant | All Skin Type | Spf 40 Pa++++,₹899,https://cdn01.pharmeasy.in/dam/products_otc/X20910/uv-smart-matt-sunscreen-gel-spf-40-pa-50g-6.1-1739441729.jpg?dim=700x0&dpr=1&q=100
Savikalpa Relief Oil With Vijaya Extracts | Eases Pain In Joints And Combats Arthritis |3 X 100ml,₹4197,https://cdn01.pharmeasy.in/dam/products_otc/M49017/shunyata-relief-oil-with-vijaya-extracts-to-help-ease-arthritis-rheumatic-disorders3-x-100ml-2-1719474066.jpg?dim=700x0&dpr=1&q=100
Saliac Foaming Face Wash Foaming Bottle Salicylic Acid Of 60 Ml,₹479.45,https://cdn01.pharmeasy.in/dam/products_otc/207943/saliac-foaming-face-wash-foaming-bottle-of-60-ml-2-1671741058.jpg?dim=700x0&dpr=1&q=100
New Aquasoft Max Tube Of 150gm Cream,₹611,https://cdn01.pharmeasy.in/dam/products_otc/I47065/new-aquasoft-max-tube-of-150gm-cream-1-1675863251.jpg?dim=700x0&dpr=1&q=100
Fixderma Salyzap Az For Body Acne Spray 100ml,N/A,https://cdn01.pharmeasy.in/dam/products_otc/G45842/fixderma-salyzap-az-for-body-acne-spray-100ml-2-1717767653.jpg?dim=700x0&dpr=1&q=100
Newish Aloe Vera Gel For Face Enriched With Tulsi & Neem For Face & Skin 200gm,₹399,https://cdn01.pharmeasy.in/dam/products_otc/Q22105/newish-aloe-vera-gel-for-face-enriched-with-tulsi-neem-for-face-skin-200gm-2-1671744499.jpg?dim=700x0&dpr=1&q=100
Newisheucalyptus Oil For Hair Painrelief & Diffuser|Undiluted Aromatherapy Therapeutic Grade 30ml,₹259.35,https://cdn01.pharmeasy.in/dam/products_otc/P68078/newisheucalyptus-oil-for-hair-painrelief-diffuserundiluted-aromatherapy-therapeutic-grade-30ml-2-1671744537.jpg?dim=700x0&dpr=1&q=100
Sunheal Ultra Matte Gel Sunscreen Spf 50+ Pa++++ 50gm,₹875,https://cdn01.pharmeasy.in/dam/products_otc/D44743/sunheal-ultra-matte-gel-sunscreen-spf-50-pa-50gm-6.1-1736229395.jpg?dim=700x0&dpr=1&q=100
Dove Gentle Exfoliating Nourishing Body Wash | For All Skin Type | 800 Ml,₹590,https://cdn01.pharmeasy.in/dam/products_otc/L47416/dove-gentle-exfoliating-nourishing-body-wash-for-all-skin-type-800-ml-2-1674205309.jpg?dim=700x0&dpr=1&q=100
Newish Orange Essential Oil For Face Skin Aroma Diffuser Cold Pressed 30ml,₹259.35,https://cdn01.pharmeasy.in/dam/products_otc/H39540/newish-orange-essential-oil-for-face-skin-aroma-diffuser-cold-pressed-30ml-2-1671744510.jpg?dim=700x0&dpr=1&q=100
Sebamed Baby Lip Balm|Soft Baby Lips|With Shea Butter | Jojoba Oil & Beeswax|4.8 Gm,₹520,https://cdn01.pharmeasy.in/dam/products_otc/I11294/sebamed-baby-lip-balm-48gfor-dry-sensitive-baby-lipswith-shea-butter-jojoba-oil-2-1669710172.jpg?dim=700x0&dpr=1&q=100
Ridacne Foaming Bottle Of 100ml Face Wash,₹650,https://cdn01.pharmeasy.in/dam/products_otc/I13518/ridacne-foaming-bottle-of-100ml-face-wash-1-1685964458.jpg?dim=700x0&dpr=1&q=100
Venusia Cleansing And Moisturising Syndet Bar - 75gm,N/A,https://cdn01.pharmeasy.in/dam/products_otc/I05250/venusia-cleansing-and-moisturising-syndet-bar-75gm-1-1669634946.jpg?dim=700x0&dpr=1&q=100
Brinton Acnescar Advanced Gel For Acne Scars & Acne Pits 15g,₹845,https://cdn01.pharmeasy.in/dam/products_otc/U09422/brinton-acnescar-advanced-gel-for-acne-scars-acne-pits-15g-2-1722336221.jpg?dim=700x0&dpr=1&q=100
Moiz Syndet Bar Everyday Bathing 75gm,₹205,https://cdn01.pharmeasy.in/dam/products_otc/272898/moiz-syndet-bar-75gm-1-1671740968.jpg?dim=700x0&dpr=1&q=100
Cetaphil Moisturising Lotion - 100ml,₹575,https://cdn01.pharmeasy.in/dam/products_otc/Y37979/cetaphil-moisturising-lotion-100ml-2-1737303366.jpg?dim=700x0&dpr=1&q=100
Fixderma Shadow Sunscreen Spf 50+ Gel For Oily Skin Uva And Uvb | Spf 50 | Water Resistant (40 G),₹350,https://cdn01.pharmeasy.in/dam/products_otc/H10568/fixderma-shadow-sunscreen-spf-50-gel-for-oily-skin-uva-and-uvb-spf-50-water-resistant-40-g-2-1717767699.jpg?dim=700x0&dpr=1&q=100
