Name,Price,Image URL
Fij Ayurveda Omega 3 Fish Oil (180 Mg Epa & 120 Mg Dha) - 500mg 60 Softgel Capsules,₹699,https://cdn01.pharmeasy.in/dam/products_otc/F80949/fij-ayurveda-omega-3-fish-oil-180-mg-epa-120-mg-dha-500mg-60-softgel-capsules-2-1717743550.jpg?dim=700x0&dpr=1&q=100
Kapiva Organic Gulkand - Natural Rich In Calcium And Antioxidants - 300g,₹549,https://cdn01.pharmeasy.in/dam/products_otc/C84763/kapiva-organic-gulkand-natural-rich-in-calcium-and-antioxidants-300g-2-1671742489.jpg?dim=700x0&dpr=1&q=100
Pure Nutrition Magnesium Glycinate Tablets For Bone And Muscle Health 60 Veg Tablets,₹649,https://cdn01.pharmeasy.in/dam/products_otc/G02571/pure-nutrition-magnesium-glycinate-tablets-for-bone-and-muscle-health-60-veg-tablets-2-1677732518.jpg?dim=700x0&dpr=1&q=100
Melatonin 3 Mg For Sleep Aid,₹750,https://cdn01.pharmeasy.in/dam/products_otc/Z12582/melatonin-3-mg-for-sleep-aid-2-1710317803.jpg?dim=700x0&dpr=1&q=100
Briyocal D3 60k - Vitamin D3 (Choleclaciferol) 60000 Iu - 4 Caspules For Once A Week Use,₹99,https://cdn01.pharmeasy.in/dam/products_otc/D23875/briyocal-d3-60k-vitamin-d3-choleclaciferol-60000-iu-4-caspules-for-once-a-week-use-2-1691046886.jpg?dim=700x0&dpr=1&q=100
Ensure Diabetes Care Specialized Nutrition Drink Vanilla - 1kg Box,₹2120,https://cdn01.pharmeasy.in/dam/products_otc/W14725/ensure-diabetes-care-specialized-nutrition-drink-vanilla-1kg-box-1-1697098358.jpg?dim=700x0&dpr=1&q=100
Wellbeing Nutrition Melts Restful Sleep-Melatonin 10mg For Natural Sleep Cycle 30 Oral Strips,₹649,https://cdn01.pharmeasy.in/dam/products_otc/G32088/wellbeing-nutrition-melts-restful-sleep-melatonin-10mg-for-natural-sleep-cycle-30-oral-strips-2-1689314676.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Jointcare-Blend Of 9 Powerful Herbs-Joint & Bone Health-Bottle Of 60 Tablets,₹999,https://cdn01.pharmeasy.in/dam/products_otc/Y79593/everherb-by-pharmeasy-jointcare-blend-of-9-powerful-herbs-joint-bone-health-bottle-of-60-tablets-6.01-1741175037.jpg?dim=700x0&dpr=1&q=100
Swisse Ultiboost Odourless Strength Wild Fish Oil -Omega 3 -Heart Brain & Eye Health- 200 Caps,₹2599,https://cdn01.pharmeasy.in/dam/products_otc/E24840/swisse-ultiboost-odourless-strength-wild-fish-oil-omega-3-heart-brain-eye-health-200-caps-2-1654169659.jpg?dim=700x0&dpr=1&q=100
Kapiva Shilajit Gold Resin - 40g | Helps In Boosting Stamina | 100% Ayurvedic,₹3598,https://cdn01.pharmeasy.in/dam/products_otc/P58531/kapiva-shilajit-gold-resin-40g-helps-in-boosting-stamina-100-ayurvedic-2-1707273475.jpg?dim=700x0&dpr=1&q=100
Celevida Nutrition Drink For Diabetes Care & Immunity Support Kesar Elaichi | 400g | Tin,₹790,https://cdn01.pharmeasy.in/dam/products_otc/X55083/celevida-nutrition-drink-for-diabetes-care-immunity-support-kesar-elaichi-400g-tin-2-1728992290.jpg?dim=700x0&dpr=1&q=100
Dr. Morepen Multivitamins For Men With Omega 3 & Herbs - 60 Veg Tablets,₹999,https://cdn01.pharmeasy.in/dam/products_otc/H92079/dr-morepen-multivitamins-for-men-with-omega-3-herbs-60-veg-tablets-2-1678945204.jpg?dim=700x0&dpr=1&q=100
Health Ok Multivitamin With Vitamin D C & Other 17 Multivitamins Minerals 10 Tablets X Pack Of 3,₹330,https://cdn01.pharmeasy.in/dam/products_otc/G34227/health-ok-multivitamin-with-vitamin-d-c-other-17-multivitamins-minerals-10-tablets-x-pack-of-3-2-1686550148.jpg?dim=700x0&dpr=1&q=100
Wellbeing Nutrition Melts Vegan Vitamin B12 + Folate For Mood & Memory 30 Strips,₹649,https://cdn01.pharmeasy.in/dam/products_otc/S88181/wellbeing-nutrition-melts-vegan-vitamin-b12-folate-for-mood-memory-30-strips-2-1730948783.jpg?dim=700x0&dpr=1&q=100
