name,price,image_URL
Wonderize Ultra Dry Sanitary Napkins - Size Xl - Pack Of 90 Pads (Combo Of 3) Uniquely Shaped Flaps,₹1125,https://cdn01.pharmeasy.in/dam/products_otc/T27782/wonderize-ultra-dry-sanitary-napkins-size-xl-pack-of-90-pads-combo-of-3-uniquely-shaped-flaps-2-1681298093.jpg?dim=700x0&dpr=1&q=100
Anti Stretch Marks Herbal Cream | Scar Removal | During & After Pregnancy | 100% Ayurvedic | 50g,₹999,https://cdn01.pharmeasy.in/dam/products_otc/L55508/anti-stretch-marks-herbal-cream-scar-removal-during-after-pregnancy-100-ayurvedic-50g-2-1692701003.jpg?dim=700x0&dpr=1&q=100
Pee Safe Toilet Seat Sanitizer Spray (75ml - Pack Of 6) - Mint|Kills 99.9% Germs & Travel Friendly,₹1080,https://cdn01.pharmeasy.in/dam/products_otc/E49057/pee-safe-toilet-seat-sanitizer-spray-75ml-pack-of-6-mintkills-999-germs-travel-friendly-2-1721024686.jpg?dim=700x0&dpr=1&q=100
Wonderize Ultra Dry Sanitary Napkins - Size Xl - Pack Of 30 Pads - Uniquely Shaped Flaps,₹375,https://cdn01.pharmeasy.in/dam/products_otc/Q06596/wonderize-ultra-dry-sanitary-napkins-size-xl-pack-of-30-pads-uniquely-shaped-flaps-2-1681298205.jpg?dim=700x0&dpr=1&q=100
"Everteen Xxl Sanitary Napkin Pads With Cottony-Dry Top Layer For Women 4 Packs, 320mm",₹1596,https://cdn01.pharmeasy.in/dam/products_otc/M94376/everteen-xxl-sanitary-napkin-pads-with-cottony-dry-top-layer-for-women-4-packs-320mm-2-1695795436.jpg?dim=700x0&dpr=1&q=100
Vivo Care Intimate Wash,N/A,https://cdn01.pharmeasy.in/dam/products_otc/L17351/vivo-care-intimate-wash-2-1696836390.jpg?dim=700x0&dpr=1&q=100
I-Activ Period Panty | Disposable(L-Xl) Waist(31-48 Inches) | Pack Of 10 | For Heavy Flow | Pads,₹580,https://cdn01.pharmeasy.in/dam/products_otc/Q90524/i-activ-period-panty-disposablel-xl-waist31-48-inches-pack-of-10-for-heavy-flow-maternity-pads-2-1674802206.jpg?dim=700x0&dpr=1&q=100
Mom & World Reusable Menstrual Cup For Women 100% Medical Grade Silicone- (Large),₹399,https://cdn01.pharmeasy.in/dam/products_otc/F86237/mom-world-reusable-menstrual-cup-for-women-100-medical-grade-silicone-large-2-1681452646.jpg?dim=700x0&dpr=1&q=100
Nua Overnight Disposable Period Panties | M - L | 360 Degree Coverage Sanitary Pad (Pack Of 5),₹299,https://cdn01.pharmeasy.in/dam/products_otc/P20971/nua-overnight-disposable-period-panties-m-l-360-degree-coverage-sanitary-pad-pack-of-5-2-1704788838.jpg?dim=700x0&dpr=1&q=100
Whisper Ultra Night Sanitary Pads Xl Plus - 44 Pads,₹675,https://cdn01.pharmeasy.in/dam/products_otc/M23682/whisper-ultra-night-sanitary-pads-xl-plus-44-pads-2-1654234347.jpg?dim=700x0&dpr=1&q=100
