Name,Price,Image URL
Calcimax 500 Health Supplement Tablets (500 Mg Of Calcium) Strip Of 30,₹405,https://cdn01.pharmeasy.in/dam/products_otc/031531/calcimax-500-health-supplement-tablets-500-mg-of-calcium-box-of-30-2-1702961571.jpg?dim=700x0&dpr=1&q=100
Cheerio 0.35% Oral Gel 75gm,₹174.5,https://cdn01.pharmeasy.in/dam/products_otc/191873/cheerio-035-oral-gel-75gm-1-1669655250.jpg?dim=700x0&dpr=1&q=100
Ayouthveda Acne Enemy Face Wash,₹159,https://cdn01.pharmeasy.in/dam/products_otc/W63580/ayouthveda-acne-enemy-face-wash-2-1695119804.jpg?dim=700x0&dpr=1&q=100
Acne Uv Spf 30 Tube Of 30gm Gel,₹481.5,https://cdn01.pharmeasy.in/dam/products_otc/I01828/acne-uv-spf-30-tube-of-30gm-gel-1-1683202171.jpg?dim=700x0&dpr=1&q=100
Sensodyne Sensitive Rapid Relief Toothpaste Tube Of 80 G,₹210,https://cdn01.pharmeasy.in/dam/products_otc/I08007/sensodyne-sensitive-rapid-relief-toothpaste-tube-of-80-g-2-1669655282.jpg?dim=700x0&dpr=1&q=100
Tugain Eva Bottle Of 60ml Minoxidil Solution,₹984.63,https://cdn01.pharmeasy.in/dam/products_otc/W46844/tugain-eva-bottle-of-60ml-solution-4-1671742133.jpg?dim=700x0&dpr=1&q=100
Sebamed Olive Face & Body Wash | Ph 5.5 | Soap Free | For Sensitive Dry Skin|Olive Oil And Panthenol,₹800,https://cdn01.pharmeasy.in/dam/products_otc/222824/sebamed-olive-face-body-wash-ph-55-soap-free-for-sensitive-dry-skinolive-oil-and-panthenol-2-1688551299.jpg?dim=700x0&dpr=1&q=100
Hair 4u Shampoo Bottle - 100 Ml,₹500,https://cdn01.pharmeasy.in/dam/products_otc/269302/hair-4u-shampoo-bottle-100-ml-6.1-1731994137.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Fat Burner|Natural Herbal Blend|Accelerates Calorie Burning - 60,₹799,https://cdn01.pharmeasy.in/dam/products_otc/J29227/everherb-by-pharmeasy-fat-burnernatural-herbal-blendaccelerates-calorie-burning-60-6.01-1741172306.jpg?dim=700x0&dpr=1&q=100
New Whisper Ultra Bindazzz Nights Xl + (317mm) 44 Sanitary Pads,₹649,https://cdn01.pharmeasy.in/dam/products_otc/M84946/new-whisper-ultra-bindazzz-nights-xl-317mm-44-sanitary-pads-2-1701332618.jpg?dim=700x0&dpr=1&q=100
Candid Multi Benefit Soap | Bar | Box | 125 Gm,₹214,https://cdn01.pharmeasy.in/dam/products_otc/Q41520/new-candid-multi-benefit-125gm-soap-pack-of-1-2-1690889876.jpg?dim=700x0&dpr=1&q=100
Vwash Plus Intimate Wash Bottle Of 100 Ml,₹185,https://cdn01.pharmeasy.in/dam/products_otc/224994/vwash-plus-intimate-wash-bottle-of-100-ml-1-1675663805.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Fish Oil 1000mg Soft Gelatin 60 Capsules,₹649,https://cdn01.pharmeasy.in/dam/products_otc/S31892/pharmeasy-fish-oil-1000mg-soft-gelatin-60-capsules-6.1-1731323235.jpg?dim=700x0&dpr=1&q=100
Manforce Xotic Extra Dotted Vegan Condoms For Men With 1500 Dots Strawberry Flavour (10 Counts),₹90,https://cdn01.pharmeasy.in/dam/products_otc/332964/manforce-xotic-extra-dotted-vegan-condoms-for-men-with-1500-dots-strawberry-flavour-10-counts-2-1669655081.jpg?dim=700x0&dpr=1&q=100
Liveasy Wellness Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60 Tabs,₹599,https://cdn01.pharmeasy.in/dam/products_otc/T22634/liveasy-wellness-calcium-magnesium-vitamin-d3-zinc-bones-dental-health-bottle-60-tabs-6.1-1733485732.jpg?dim=700x0&dpr=1&q=100
Nivea Cocoa Nourish Body Lotion Bottle Of 400 Ml,₹550,https://cdn01.pharmeasy.in/dam/products_otc/I40912/nivea-cocoa-nourish-body-lotion-bottle-of-400-ml-2-1679372252.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 120,₹1299,https://cdn01.pharmeasy.in/dam/products_otc/Q90234/pharmeasy-multivitamin-multimineral-immunity-booster-complete-nutrition-bottle-of-120-2-1675318327.jpg?dim=700x0&dpr=1&q=100
Saslic Ds Foaming Salicylic Acid Face Wash 60ml,₹495,https://cdn01.pharmeasy.in/dam/products_otc/193316/saslic-ds-face-wash-60ml-1-1671740772.jpg?dim=700x0&dpr=1&q=100
Sensodyne Sensitive Toothbrush (Soft),₹65,https://cdn01.pharmeasy.in/dam/products_otc/329892/sensodyne-sensitive-toothbrush-soft-2-1671741326.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Apple Cider Vinegar With Mother -Improves Metabolism- 500ml Bottle,₹649,https://cdn01.pharmeasy.in/dam/products_otc/E22952/pharmeasy-apple-cider-vinegar-with-mother-improves-metabolism-500ml-bottle-6.1-1731322717.jpg?dim=700x0&dpr=1&q=100
Neutrogena Ultra Sheer Dry Touch Sunblock Spf 50+ 80ml,₹780,https://cdn01.pharmeasy.in/dam/products_otc/O94291/neutrogena-ultra-sheer-dry-touch-sunblock-spf-50-88ml-2-1720504399.jpg?dim=700x0&dpr=1&q=100
Ahaglow Advanced Tube Of 200gm Face Wash Gel,₹798,https://cdn01.pharmeasy.in/dam/products_otc/T14325/ahaglow-advanced-tube-of-200gm-face-wash-gel-2-1690790078.jpg?dim=700x0&dpr=1&q=100
Himalaya Baby Powder Bottle Of 200 G,₹210,https://cdn01.pharmeasy.in/dam/products_otc/090323/himalaya-baby-powder-bottle-of-200-g-2-1669654986.jpg?dim=700x0&dpr=1&q=100
Indulekha Bringha Hair Oil Bottle Of 100 Ml,₹432,https://cdn01.pharmeasy.in/dam/products_otc/I07716/indulekha-bringha-hair-oil-bottle-of-100-ml-2-1669635031.jpg?dim=700x0&dpr=1&q=100
Liveasy Essentials Strawbery Flavour Lip Balm 4.8gm,₹159,https://cdn01.pharmeasy.in/dam/products_otc/Y23475/liveasy-essentials-strawbery-flavour-lip-balm-48gm-2-1703576225.jpg?dim=700x0&dpr=1&q=100
Durex Invisible Super Ultra Thin Condoms For Men - 10s,₹532,https://cdn01.pharmeasy.in/dam/products_otc/S24573/durex-invisible-super-ultra-thin-condoms-for-men-10s-6.01-1718100660.jpg?dim=700x0&dpr=1&q=100
Ahaglow Advanced Tube Of 50gm Face Wash Gel,₹325,https://cdn01.pharmeasy.in/dam/products_otc/G33205/ahaglow-advanced-tube-of-50gm-face-wash-gel-2-1696339617.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Karela - Blood Sugar Control - Lowers Bad Cholestrol - Bottle Of 60,₹599,https://cdn01.pharmeasy.in/dam/products_otc/B55847/everherb-by-pharmeasy-karela-blood-sugar-control-lowers-bad-cholestrol-bottle-of-60-6.1-1733727612.jpg?dim=700x0&dpr=1&q=100
New Kera Xl Bottle Of 60ml Hair Growth Serum,₹1290,https://cdn01.pharmeasy.in/dam/products/I34664/new-kera-xl-hair-growth-serum-60ml-1-1662199648.jpg?dim=700x0&dpr=1&q=100
Xerina Cream 50gm,₹480,https://cdn01.pharmeasy.in/dam/products_otc/223494/xerina-cream-50gm-1-1671741023.jpg?dim=700x0&dpr=1&q=100
Dermadew Shampoo 80ml,₹228,https://cdn01.pharmeasy.in/dam/products/329910/dermadew-shampoo-80ml-2-1641532144.jpg?dim=700x0&dpr=1&q=100
Aquasoft Moist Lotion 200ml,₹551,https://cdn01.pharmeasy.in/dam/products/013303/aquasoft-moist-lotion-200ml-1-1641535103.jpg?dim=700x0&dpr=1&q=100
Tonenglo Face Wash Tube Of 100 G,₹380,https://cdn01.pharmeasy.in/dam/products_otc/255436/tonenglo-face-wash-tube-of-100-g-2-1671740990.jpg?dim=700x0&dpr=1&q=100
Extend Forte Strip Of 10 Tablets,₹190,https://cdn01.pharmeasy.in/dam/products/122352/extend-forte-strip-of-10-tablets-7-1654072742.jpg?dim=700x0&dpr=1&q=100
Enmoist Cream 200gm,₹286,https://cdn01.pharmeasy.in/dam/products/323553/enmoist-cream-200gm-1-1641531324.jpg?dim=700x0&dpr=1&q=100
Sofibar Syndet Bar 75gm,N/A,https://cdn01.pharmeasy.in/dam/products_otc/I12516/sofibar-syndet-bar-75gm-2-1738568436.jpg?dim=700x0&dpr=1&q=100
Durex Extra Ribbed Packet Of 10 Condoms,₹295,https://cdn01.pharmeasy.in/dam/products_otc/I40166/durex-extra-ribbed-packet-of-10-condoms-6.01-1718098142.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Glutathione - Promotes Healthy Skin - Reverses Signs Of Ageing - Bottle Of 30,₹1399,https://cdn01.pharmeasy.in/dam/products_otc/G70731/pharmeasy-glutathione-promotes-healthy-skin-reverses-signs-of-ageing-bottle-of-30-6.1-1731324402.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Jointcare-Blend Of 9 Powerful Herbs-Joint & Bone Health-Bottle Of 60 Tablets,₹999,https://cdn01.pharmeasy.in/dam/products_otc/Y79593/everherb-by-pharmeasy-jointcare-blend-of-9-powerful-herbs-joint-bone-health-bottle-of-60-tablets-6.01-1741175037.jpg?dim=700x0&dpr=1&q=100
Venusia Moisturizing Cream For Dry Sensitive Skin Box Of 100 G,₹531,https://cdn01.pharmeasy.in/dam/products_otc/X39340/venusia-moisturizing-cream-for-dry-sensitive-skin-box-of-100-g-2-1691231585.jpg?dim=700x0&dpr=1&q=100
Cetaphil Gentle Skin Cleanser - 1000ml,₹1599,https://cdn01.pharmeasy.in/dam/products_otc/I44087/cetaphil-gentle-skin-cleanser-1000ml-2-1669711313.jpg?dim=700x0&dpr=1&q=100
Extend Hair Strip Of 10 Tablets,₹257,https://cdn01.pharmeasy.in/dam/products_otc/I11693/extend-hair-strip-of-10-tablets-3-1669710073.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Diabetic Protein Powder Chocolate Flavour 400g,₹999,https://cdn01.pharmeasy.in/dam/products_otc/V02315/pharmeasy-diabetic-protein-powder-chocolate-flavour-400g-2-1729511982.jpg?dim=700x0&dpr=1&q=100
Thermokind F Spearmint Flavour Sugar Free Tube Of 100gm Gel,₹153.67,https://cdn01.pharmeasy.in/dam/products_otc/I38727/thermokind-f-spearmint-flavour-sugar-free-tube-of-100gm-gel-1-1669710765.jpg?dim=700x0&dpr=1&q=100
Cetaphil Gentle Skin Cleanser - 125ml,₹429,https://cdn01.pharmeasy.in/dam/products_otc/I00623/cetaphil-gentle-skin-cleanser-125ml-2-1671740876.jpg?dim=700x0&dpr=1&q=100
Sensodyne Rapid Relief Toothpaste 40 Gm,₹120,https://cdn01.pharmeasy.in/dam/products_otc/S58995/sensodyne-rapid-relief-toothpaste-40-gm-1-1654255860.jpg?dim=700x0&dpr=1&q=100
Episoft Cleansing Lotion 250ml,₹600,https://cdn01.pharmeasy.in/dam/products_otc/273329/episoft-cleansing-lotion-250ml-2-1686010041.jpg?dim=700x0&dpr=1&q=100
Hamdard Roghan Badam Shirin - 100ml,N/A,https://cdn01.pharmeasy.in/dam/products_otc/153590/hamdard-roghan-badam-shirin-100ml-1-1669619485.jpg?dim=700x0&dpr=1&q=100
La Shield Fisico Matte Sunscreen Gel Spf 50+ Tube Of 50gm,₹750,https://cdn01.pharmeasy.in/dam/products_otc/O15703/la-shield-fisico-matte-sunscreen-gel-spf-50-tube-of-50gm-2-1702362564.jpg?dim=700x0&dpr=1&q=100
